Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,04-04-2024 17:39:30,04-04-2024 17:57:50,18m - 19.941s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - To verify that opty creation for the new customer,,,,04-04-2024 17:39:30,04-04-2024 17:41:59,2m - 28.776s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\git\EguruSmart1\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ""Str_Password"":""Soct#2023"", ... ], STOP_ON_FAILURE)",,,,04-04-2024 17:39:33,04-04-2024 17:40:22,48.867s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 5)",,,,04-04-2024 17:40:22,04-04-2024 17:40:27,5.161s,PASSED
if (Bool_Offline == true),,,,04-04-2024 17:40:27,04-04-2024 17:40:27,0.002s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,04-04-2024 17:40:27,04-04-2024 17:40:29,2.024s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,04-04-2024 17:40:29,04-04-2024 17:40:29,0.287s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,04-04-2024 17:40:29,04-04-2024 17:40:31,1.631s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,04-04-2024 17:40:31,04-04-2024 17:40:31,0.241s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,04-04-2024 17:40:31,04-04-2024 17:40:31,0.260s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,04-04-2024 17:40:31,04-04-2024 17:40:31,0.216s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,04-04-2024 17:40:31,04-04-2024 17:40:32,0.220s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,04-04-2024 17:40:32,04-04-2024 17:40:32,0.218s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,04-04-2024 17:40:32,04-04-2024 17:40:32,0.004s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,04-04-2024 17:40:32,04-04-2024 17:40:33,1.315s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,04-04-2024 17:40:33,04-04-2024 17:40:34,1.038s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,04-04-2024 17:40:34,04-04-2024 17:40:34,0.239s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,04-04-2024 17:40:34,04-04-2024 17:40:35,0.719s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,04-04-2024 17:40:35,04-04-2024 17:40:35,0.002s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,04-04-2024 17:40:35,04-04-2024 17:40:36,1.382s,PASSED
randomName = generateRandomName(),,,,04-04-2024 17:40:36,04-04-2024 17:40:36,0.002s,PASSED
chars = (A..Z) + (a..z),,,,04-04-2024 17:40:36,04-04-2024 17:40:36,0.024s,PASSED
name =  }).join(),,,,04-04-2024 17:40:36,04-04-2024 17:40:37,0.047s,PASSED
return name,,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.002s,PASSED
println(Random 5-character name: $randomName),,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.065s,PASSED
minRange = 1,,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.001s,PASSED
maxRange = 1000,,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.001s,PASSED
"randomInt = current().nextInt(minRange, maxRange + 1)",,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.033s,PASSED
Result = $randomName $randomInt,,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.002s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,04-04-2024 17:40:37,04-04-2024 17:40:37,0.829s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), Result, 0)",,,,04-04-2024 17:40:37,04-04-2024 17:40:39,1.772s,PASSED
hideKeyboard(),,,,04-04-2024 17:40:39,04-04-2024 17:40:41,1.989s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,04-04-2024 17:40:41,04-04-2024 17:40:42,0.822s,PASSED
Result == str_getNewContact,,,,04-04-2024 17:40:42,04-04-2024 17:40:42,0.002s,PASSED
takeScreenshot(),,STEP-03 : The user successfully enters the name and respective name should be visible,,04-04-2024 17:40:42,04-04-2024 17:40:43,1.306s,PASSED
"tap(findTestObject(""Add Contact/AddNewContactButton""), 0)",,,,04-04-2024 17:40:43,04-04-2024 17:40:44,0.344s,PASSED
"setText(findTestObject(""Primery Details/FirstName""), str_FirstName, 0)",,,,04-04-2024 17:40:44,04-04-2024 17:40:46,2.273s,PASSED
hideKeyboard(),,,,04-04-2024 17:40:46,04-04-2024 17:40:48,1.926s,PASSED
"setText(findTestObject(""Primery Details/LastName""), str_LastName, 0)",,,,04-04-2024 17:40:48,04-04-2024 17:40:50,1.806s,PASSED
hideKeyboard(),,,,04-04-2024 17:40:50,04-04-2024 17:40:52,1.923s,PASSED
"tap(findTestObject(""Primery Details/MobileNumber""), 0)",,,,04-04-2024 17:40:52,04-04-2024 17:40:52,0.797s,PASSED
"setText(findTestObject(""Primery Details/MobileNumber""), str_MobileNumber + randomInt, 0)",,,,04-04-2024 17:40:52,04-04-2024 17:40:54,1.657s,PASSED
hideKeyboard(),,,,04-04-2024 17:40:54,04-04-2024 17:40:58,3.714s,PASSED
takeScreenshot(),,,,04-04-2024 17:40:58,04-04-2024 17:40:59,0.950s,PASSED
"tap(findTestObject(""Create New Opportunity/Customer Type""), 0)",,,,04-04-2024 17:40:59,04-04-2024 17:41:00,0.791s,PASSED
"sendKeys(findTestObject(""Create New Opportunity/Type_CustomerType""), str_CustomerType, STOP_ON_FAILURE)",,,,04-04-2024 17:41:00,04-04-2024 17:41:01,1.610s,PASSED
hideKeyboard(),,,,04-04-2024 17:41:01,04-04-2024 17:41:03,2.046s,PASSED
"Bool_Customer = waitForElementPresent(findTestObject(""Create New Opportunity/Click_Customer""), 5)",,,,04-04-2024 17:41:03,04-04-2024 17:41:03,0.284s,PASSED
if (Bool_Customer == true),,,,04-04-2024 17:41:03,04-04-2024 17:41:04,0.846s,PASSED
"checkElement(findTestObject(""Primery Details/Influencer Checkbox""), 0)",,,,04-04-2024 17:41:04,04-04-2024 17:41:06,1.505s,PASSED
hideKeyboard(),,,,04-04-2024 17:41:06,04-04-2024 17:41:07,0.969s,PASSED
"tap(findTestObject(""Create New Opportunity/Additional information""), 0)",,,,04-04-2024 17:41:07,04-04-2024 17:41:08,1.506s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,04-04-2024 17:41:08,04-04-2024 17:41:11,3.010s,PASSED
"tap(findTestObject(""Primery Details/Enter InfluencerType""), 0)",,,,04-04-2024 17:41:11,04-04-2024 17:41:12,0.800s,PASSED
"setText(findTestObject(""Create New Opportunity/Type Influencer""), str_InfluencerType, 0)",,,,04-04-2024 17:41:12,04-04-2024 17:41:14,1.721s,PASSED
hideKeyboard(),,,,04-04-2024 17:41:14,04-04-2024 17:41:16,1.991s,PASSED
"tap(findTestObject(""Primery Details/Address Details/NextButton""), 0)",,,,04-04-2024 17:41:16,04-04-2024 17:41:17,1.180s,PASSED
"bool_Pincode = waitForElementPresent(findTestObject(""Primery Details/Address Details/Pincode""), 5)",,,,04-04-2024 17:41:17,04-04-2024 17:41:20,2.559s,PASSED
if (bool_Pincode == true),,,,04-04-2024 17:41:20,04-04-2024 17:41:59,39.572s,FAILED
,,,,,,,
Test Cases/TC/TC_02 - To verify that the user is able to add PDOR or not,,,,04-04-2024 17:41:59,04-04-2024 17:43:45,1m - 46.050s,PASSED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\git\EguruSmart1\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ""Str_Password"":""Soct#2023"", ... ], STOP_ON_FAILURE)",,,,04-04-2024 17:42:00,04-04-2024 17:42:34,34.405s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,,,04-04-2024 17:42:34,04-04-2024 17:42:44,10.169s,PASSED
if (Bool_Offline == true),,,,04-04-2024 17:42:44,04-04-2024 17:42:44,0.002s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,04-04-2024 17:42:44,04-04-2024 17:42:44,0.241s,PASSED
"tap(findTestObject(""Home/Opportunities""), 0)",,,,04-04-2024 17:42:44,04-04-2024 17:42:45,0.829s,PASSED
"tap(findTestObject(""NewObject/CliKC1""), 30)",,,,04-04-2024 17:42:45,04-04-2024 17:42:48,2.267s,PASSED
"verifyElementExist(findTestObject(""NewObject/C1 Summary""), 30)",,,,04-04-2024 17:42:48,04-04-2024 17:42:49,1.553s,PASSED
takeScreenshot(),,"STEP-01 : Click on Opportunities and click on C1

Expected_Result :The user successfully landed on the all opporunities detail page",,04-04-2024 17:42:49,04-04-2024 17:42:51,1.781s,PASSED
"tap(findTestObject(""NewObject/CREATE C1A""), 0)",,,,04-04-2024 17:42:51,04-04-2024 17:42:52,0.903s,PASSED
"tap(findTestObject(""NewObject/PDORClick""), 0)",,,,04-04-2024 17:42:52,04-04-2024 17:42:54,2.468s,PASSED
"verifyElementExist(findTestObject(""NewObject/ADD PDOR""), 30)",,,,04-04-2024 17:42:54,04-04-2024 17:42:54,0.272s,PASSED
takeScreenshot(),,"STEP-02 : Click on Create C1A and click on PDOR
Expected_Result :The Add PDOR CTA successfully displayed",,04-04-2024 17:42:54,04-04-2024 17:42:56,1.283s,PASSED
"tap(findTestObject(""NewObject/ADD PDOR""), 0)",,,,04-04-2024 17:42:56,04-04-2024 17:42:57,0.896s,PASSED
"tap(findTestObject(""C1 Functionality/Most Likely to buy tata""), 0)",,,,04-04-2024 17:42:57,04-04-2024 17:42:57,0.818s,PASSED
"tap(findTestObject(""C1 Functionality/LikelyPurchaseDate""), 0)",,,,04-04-2024 17:42:57,04-04-2024 17:42:59,1.518s,PASSED
"tap(findTestObject(""C1 Functionality/OK""), 0)",,,,04-04-2024 17:42:59,04-04-2024 17:43:00,1.120s,PASSED
"tap(findTestObject(""C1 Functionality/PotentialDropOffReason""), 0)",,,,04-04-2024 17:43:00,04-04-2024 17:43:02,2.206s,PASSED
"setText(findTestObject(""C1 Functionality/PotentialDropOffReason""), str_PotentialDropOffReason, 0)",,,,04-04-2024 17:43:02,04-04-2024 17:43:04,1.162s,PASSED
"tap(findTestObject(""C1 Functionality/NotEligibleForFinance""), 0)",,,,04-04-2024 17:43:04,04-04-2024 17:43:05,1.491s,PASSED
"tap(findTestObject(""Vehicle information/NextButton""), 0)",,,,04-04-2024 17:43:05,04-04-2024 17:43:05,0.310s,PASSED
"verifyElementExist(findTestObject(""NewObject/Potential drop off reason""), 30)",,,,04-04-2024 17:43:05,04-04-2024 17:43:06,1.018s,PASSED
takeScreenshot(),,"STEP-03 : Click on Add PDOR and click on Next

Expected_Result :The user successfully landed on the Create PDOR page",,04-04-2024 17:43:06,04-04-2024 17:43:07,0.946s,PASSED
"tap(findTestObject(""C1 Functionality/PotentialDropOffReason""), 0)",,,,04-04-2024 17:43:07,04-04-2024 17:43:08,1.184s,PASSED
"setText(findTestObject(""C1 Functionality/PotentialDropOffReason""), ""CIBIL"", 0)",,,,04-04-2024 17:43:08,04-04-2024 17:43:10,1.993s,PASSED
"tap(findTestObject(""C1 Functionality/CIBIL""), 0)",,,,04-04-2024 17:43:10,04-04-2024 17:43:12,1.459s,PASSED
"tap(findTestObject(""C1 Functionality/FinancierSelected""), 0)",,,,04-04-2024 17:43:12,04-04-2024 17:43:13,0.776s,PASSED
"setText(findTestObject(""C1 Functionality/FinancierSelected""), str_FinancierSelect, 0)",,,,04-04-2024 17:43:13,04-04-2024 17:43:14,1.360s,PASSED
"tap(findTestObject(""C1 Functionality/No""), 0)",,,,04-04-2024 17:43:14,04-04-2024 17:43:15,1.390s,PASSED
hideKeyboard(),,,,04-04-2024 17:43:15,04-04-2024 17:43:17,1.996s,PASSED
"tap(findTestObject(""Add Account/SubmitButton""), 10)",,,,04-04-2024 17:43:17,04-04-2024 17:43:26,8.505s,PASSED
"verifyElementExist(findTestObject(""NewObject/Potential Drop Off activity created successfully""), 30)",,,,04-04-2024 17:43:26,04-04-2024 17:43:43,16.824s,PASSED
takeScreenshot(),,"STEP-04 : Enter all details and click on submit

Expected_Result :Potential Drop Off Activity created successfully popup appeared",,04-04-2024 17:43:43,04-04-2024 17:43:44,0.962s,PASSED
closeApplication(),,,,04-04-2024 17:43:44,04-04-2024 17:43:45,1.499s,PASSED
,,,,,,,
Test Cases/TC/TC_03 - To verift that the user is able to create the C1 account or not,,,,04-04-2024 17:43:45,04-04-2024 17:45:12,1m - 26.784s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\git\EguruSmart1\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ""Str_Password"":""Soct#2023"", ... ], STOP_ON_FAILURE)",,,,04-04-2024 17:43:47,04-04-2024 17:44:31,44.295s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,04-04-2024 17:44:31,04-04-2024 17:44:31,0.287s,PASSED
"tap(findTestObject(""Home/Opportunities""), 0)",,,,04-04-2024 17:44:31,04-04-2024 17:44:32,0.870s,PASSED
"tap(findTestObject(""Lost and Non Lost Functionality/C0""), 30)",,,,04-04-2024 17:44:32,04-04-2024 17:44:35,2.880s,PASSED
"bool_Summary = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/C0 Summary Text""), 0)",,,,04-04-2024 17:44:35,04-04-2024 17:44:37,1.974s,PASSED
"bool_Target = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/Target text""), 0)",,,,04-04-2024 17:44:37,04-04-2024 17:44:37,0.289s,PASSED
"bool_MTD = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/MTD text""), 0)",,,,04-04-2024 17:44:37,04-04-2024 17:44:38,0.330s,PASSED
"bool_ThisWeek = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/This Week text""), 0)",,,,04-04-2024 17:44:38,04-04-2024 17:44:38,0.306s,PASSED
"bool_Yesterday = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/Yesterday text""), 0)",,,,04-04-2024 17:44:38,04-04-2024 17:44:38,0.308s,PASSED
bool_Yesterday && bool_ThisWeek && bool_MTD && bool_Target && bool_Summary == true,,,,04-04-2024 17:44:38,04-04-2024 17:44:38,0.001s,PASSED
takeScreenshot(),,"STEP-01 : Click on C0

Expected_Result : The user successfully landed on the C0 summary page with below option-:
1. C0 Summary
2. Target
3. MTD
4. This Week
5. Yesterday",,04-04-2024 17:44:38,04-04-2024 17:44:40,1.570s,PASSED
"tap(findTestObject(""C1 Functionality/CREATE C1""), 0)",,,,04-04-2024 17:44:40,04-04-2024 17:44:40,0.441s,PASSED
"bool_LeadClassification = verifyElementExist(findTestObject(""C1 Functionality/Lead classification and PDOR""), 0)",,,,04-04-2024 17:44:40,04-04-2024 17:45:12,31.829s,FAILED
,,,,,,,
