Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-01,,,,17-01-2024 11:37:25,17-01-2024 11:40:38,3m - 13.670s,PASSED
,,,,,,,
Test Cases/TC/TC_03 -Add Account,,,,17-01-2024 11:37:25,17-01-2024 11:40:38,3m - 13.368s,PASSED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,17-01-2024 11:37:26,17-01-2024 11:39:05,1m - 38.478s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,17-01-2024 11:39:05,17-01-2024 11:39:05,0.267s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer
5. Follow Up

Actual_Result : The pop up  appeared and below 5 option are listed
1. Opportunity
2. Customer
3. Account
4. Influencer
5. Follow Up
",,17-01-2024 11:39:05,17-01-2024 11:39:07,1.850s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,17-01-2024 11:39:07,17-01-2024 11:39:07,0.237s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,17-01-2024 11:39:07,17-01-2024 11:39:07,0.206s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,17-01-2024 11:39:07,17-01-2024 11:39:08,0.200s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,17-01-2024 11:39:08,17-01-2024 11:39:08,0.213s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,17-01-2024 11:39:08,17-01-2024 11:39:08,0.231s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,17-01-2024 11:39:08,17-01-2024 11:39:08,0.002s,PASSED
"takeScreenshot("""", STOP_ON_FAILURE)",,,,17-01-2024 11:39:08,17-01-2024 11:39:10,1.672s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/Account""), 3)",,2,,17-01-2024 11:39:10,17-01-2024 11:39:11,1.120s,PASSED
"bool_Individual = verifyElementExist(findTestObject(""Add Account/Individual RadioButton""), 30)",,,,17-01-2024 11:39:11,17-01-2024 11:39:11,0.308s,PASSED
"bool_AccountName = verifyElementExist(findTestObject(""Add Account/Account Name""), 30)",,,,17-01-2024 11:39:11,17-01-2024 11:39:12,0.770s,PASSED
"bool_MainPhoneNumber = verifyElementExist(findTestObject(""Add Account/Main Phone Number""), 30)",,,,17-01-2024 11:39:12,17-01-2024 11:39:13,0.770s,PASSED
bool_Individual && bool_AccountName && bool_MainPhoneNumber == true,,,,17-01-2024 11:39:13,17-01-2024 11:39:13,0.006s,PASSED
"takeScreenshot("""", STOP_ON_FAILURE)",,,,17-01-2024 11:39:13,17-01-2024 11:39:14,1.363s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 30)",,5,,17-01-2024 11:39:14,17-01-2024 11:39:15,1.036s,PASSED
if (Bool_Offline == true),,,,17-01-2024 11:39:15,17-01-2024 11:39:17,1.549s,PASSED
"checkElement(findTestObject(""Add Account/Individual RadioButton""), 0)",,,,17-01-2024 11:39:17,17-01-2024 11:39:18,1.053s,PASSED
"setText(findTestObject(""Add Account/Account Name""), str_AccountName, 0)",,,,17-01-2024 11:39:18,17-01-2024 11:39:20,1.998s,PASSED
hideKeyboard(),,,,17-01-2024 11:39:20,17-01-2024 11:39:22,2.455s,PASSED
"setText(findTestObject(""Add Account/Main Phone Number""), str_MainMobileNo, 0)",,,,17-01-2024 11:39:22,17-01-2024 11:39:24,1.904s,PASSED
hideKeyboard(),,,,17-01-2024 11:39:24,17-01-2024 11:39:28,4.296s,PASSED
"tap(findTestObject(""Primery Details/Address Details/NextButton""), 0)",,,,17-01-2024 11:39:28,17-01-2024 11:39:29,0.885s,PASSED
"bool_Pincode = verifyElementExist(findTestObject(""Primery Details/Address Details/Pincode""), 30)",,,,17-01-2024 11:39:29,17-01-2024 11:39:30,0.736s,PASSED
"takeScreenshot("""", STOP_ON_FAILURE)",,,,17-01-2024 11:39:30,17-01-2024 11:39:31,0.999s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 30)",,5,,17-01-2024 11:39:31,17-01-2024 11:40:01,30.070s,PASSED
if (Bool_Offline == true),,,,17-01-2024 11:40:01,17-01-2024 11:40:01,0.001s,PASSED
else,,,,17-01-2024 11:40:01,17-01-2024 11:40:01,0.005s,PASSED
