Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,01-03-2024 17:08:56,01-03-2024 17:11:12,2m - 15.888s,PASSED
,,,,,,,
Test Cases/TC/TC_09 - Non Lost Functionality,,,,01-03-2024 17:08:57,01-03-2024 17:11:12,2m - 15.602s,PASSED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,01-03-2024 17:08:58,01-03-2024 17:10:01,1m - 2.892s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 30)",,,,01-03-2024 17:10:01,01-03-2024 17:10:01,0.276s,PASSED
"tap(findTestObject(""Lost and Non Lost Functionality/C0""), 0)",,,,01-03-2024 17:10:01,01-03-2024 17:10:02,1.306s,PASSED
"bool_Summary = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/C0 Summary Text""), 0)",,,,01-03-2024 17:10:02,01-03-2024 17:10:08,5.987s,PASSED
"bool_Target = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/Target text""), 0)",,,,01-03-2024 17:10:08,01-03-2024 17:10:09,0.375s,PASSED
"bool_MTD = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/MTD text""), 0)",,,,01-03-2024 17:10:09,01-03-2024 17:10:09,0.376s,PASSED
"bool_ThisWeek = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/This Week text""), 0)",,,,01-03-2024 17:10:09,01-03-2024 17:10:09,0.384s,PASSED
"bool_Yesterday = verifyElementExist(findTestObject(""Lost and Non Lost Functionality/Yesterday text""), 0)",,,,01-03-2024 17:10:09,01-03-2024 17:10:10,0.369s,PASSED
bool_Yesterday && bool_ThisWeek && bool_MTD && bool_Target && bool_Summary == true,,,,01-03-2024 17:10:10,01-03-2024 17:10:10,0.003s,PASSED
takeScreenshot(),,"STEP-01 : Click on C0

Expected_Result : The user successfully landed on the C0 summary page with below option-:
1. C0 Summary
2. Target
3. MTD
4. This Week
5. Yesterday",,01-03-2024 17:10:10,01-03-2024 17:10:11,1.671s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,,,01-03-2024 17:10:11,01-03-2024 17:10:21,10.168s,PASSED
if (Bool_Offline == true),,,,01-03-2024 17:10:21,01-03-2024 17:10:21,0.011s,PASSED
"tap(findTestObject(""Lost and Non Lost Functionality/C0 Three Dots""), 5)",,,,01-03-2024 17:10:21,01-03-2024 17:10:23,1.914s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""Lost and Non Lost Functionality/Opportunity Details""), 10)",,,,01-03-2024 17:10:23,01-03-2024 17:10:24,0.254s,PASSED
"tap(findTestObject(""Lost and Non Lost Functionality/Opportunity Details""), 0)",,,,01-03-2024 17:10:24,01-03-2024 17:10:25,0.856s,PASSED
"waitForElementPresent(findTestObject(""Lost and Non Lost Functionality/Schedule a follow up""), 5)",,,,01-03-2024 17:10:25,01-03-2024 17:10:27,2.305s,PASSED
